;class;message;stemmed;not_stemmed
0;ham;Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...;go wrong point crazi avail bug n great world la e buffet cine got wat;go until wrong point crazy available only in bugs n great world la e buffet cine there got more wat
1;ham;Ok lar... Joking wif u oni...;ok lar joke;ok lar joking if you on
2;spam;Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's;free entri number wili come win fa cup final tit number st may number text fa number receiv entri question sad text rate c appli number number;free entry in number a wily come to win fa cup final tits number st may number text fa to number to receive entry question sad text rate t c s apply number over number s
3;ham;U dun say so early hor... U c already then say...;u dun say earli c alreadi say;u dun say so early for you c already then say
4;ham;Nah I don't think he goes to usf, he lives around here though;nah think goe us live around though;nah i don t think he goes to us he lives around here though
5;spam;FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv;free hey darl number week word back like fun still tb ok six sad cog send moneysymb number rev;freeing hey there darling it s been number week s now and no word back i d like some fun you up for it still tb ok six sad cogs to send moneysymb number to rev
6;ham;Even my brother is not like to speak with me. They treat me like aids patent.;even brother like speak treat like aid patent;even my brother is not like to speak with me they treat me like aids patent
7;ham;As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune;per request bell bell minnaminungint nurungu vet set callertun caller press number copi friend callertun;as per your request belle belle or minnaminunginte nurungu vetted has been set as your callertune for all callers press number to copy your friends callertune
8;spam;WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.;winner valu network custom select receiv moneysymb number prize reward claim call number claim code al number valid number hour;winner as a valued network customer you have been selected to received moneysymb number prize reward to claim call number claim code al number valid number hours only
9;spam;Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030;mobil number month r entitl updat latest color mobil camera free call mobil updat co free number;had your mobile number months or more you r entitled to update to the latest color mobiles with camera for free call the mobile update co free on number
10;ham;I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.;gonna home soon want talk stuff anymor tonight k cri enough today;i m gonna be home soon and i don t want to talk about this stuff anymore tonight k i we cried enough today
11;spam;SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info;six chanc win cash number number number pound text cash number send number cost number p day number day number stand appli repli hl number info;six chances to win cash from number to number number pounds text cash number and send to number cost number p day number days number stands apply reply hl number info
12;spam;URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18;urgent number week free membership moneysymb number number prize jackpot text word claim number c httpaddr lccltd poor number long number number number;urgent you have won a number week free membership in our moneysymb number number prize jackpot text the word claim to no number t c httpaddr lccltd poor number long number a number re number
13;ham;I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.;search right word thank breather promis wont take help grant fulfil promis wonder bless time;i we been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times
14;ham;I HAVE A DATE ON SUNDAY WITH WILL!!;date sunday;i have a date on sunday with will
15;spam;XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL;xxxmobilemovieclub use credit click link next text messag click httpaddr httpaddr;xxxmobilemovieclub to use your credit click the was link in the next text message or click here httpaddr httpaddr
16;ham;Oh k...i'm watching here:);oh k watch;oh k i m watching here
17;ham;Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.;eh rememb number spell name ye v naughti make v wet;eh you remember how number spell his name yes i did he v naughty make until i v wet
18;ham;Fine if thats the way u feel. Thats the way its gota b;fine way feel way got b;fine if that s the way you feel that s the way its got b
19;spam;England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+;england v macedonia miss goal team news text ur nation team number eg england number tri wale scotland number text number poboxox number w number number;england v macedonia don't miss the goals team news text ur national team to number eg england to number try wales scotland number text i number poboxox number w number we number
20;ham;Is that seriously how you spell his name?;serious spell name;is that seriously how you spell his name
